throttle,brake,speed,revs,gear,transmission_speed
0.0,0.0,0.0,1000.0,1.0,0.0
0.0,0.0,0.042094114804636075,843.54680988113,1.0,1.9042620274779964
0.0,0.0,0.07120429384737914,713.0316453264722,1.0,3.2211541588710575
0.0,0.0,0.09123468143574334,601.3665265076753,1.0,4.127292859190932
0.0,0.0,0.10753132788439328,600.0,1.0,4.864523827259189
0.0,0.0,0.12378446251949134,600.0,1.0,5.599786399159049
0.0,0.0,0.1400019210572165,600.0,1.0,6.333435048594185
0.0,0.0,0.15618376040547804,600.0,1.0,7.06547234997604
0.0,0.0,0.17233003748342066,600.0,1.0,7.795900878224321
0.0,0.0,0.18844080922085116,600.0,1.0,8.524723208741074
0.0,0.0,0.20451613255766726,600.0,1.0,9.251941917384839
0.0,0.0,0.22055606444328896,600.0,1.0,9.977559580444922
0.0,0.0,0.2365606618360922,600.0,1.0,10.701578774615788
0.0,0.0,0.25252998170284485,600.0,1.0,11.424002076971535
0.0,0.0,0.26846408101814523,600.0,1.0,12.14483206494049
0.0,0.0,0.2843630167638628,600.0,1.0,12.86407131627992
0.0,0.0,0.30022684592858123,600.0,1.0,13.581722409050832
0.0,0.0,0.31605562550704414,600.0,1.0,14.297787921592894
0.0,0.0,0.3318494124996028,600.0,1.0,15.012270432499452
0.0,0.0,0.34760826391166627,600.0,1.0,15.725172520592666
0.0,0.0,0.3633322367531543,600.0,1.0,16.43649676489874
0.0,0.0,0.3790213880379521,600.0,1.0,17.14624574462328
0.0,0.0,0.39467577478336757,600.0,1.0,17.85442203912672
0.0,0.0,0.4102954540095913,600.0,1.0,18.561028227899904
0.0,0.0,0.4258804827391582,600.0,1.0,19.26606689053973
0.0,0.0,0.4414309179964123,600.0,1.0,19.969540606724934
0.0,0.0,0.4569468168069733,600.0,1.0,20.671451956191966
0.0,0.0,0.4724282361972055,600.0,1.0,21.371803518710962
0.0,0.0,0.48787523319368975,600.0,1.0,22.070597874061843
0.0,0.0,0.5032878648226968,600.0,1.0,22.76783760201051
0.0,0.0,0.5186661881096637,600.0,1.0,23.46352528228515
0.0,0.0,0.5340102600786721,600.0,1.0,24.157663494552633
0.0,0.0,0.5493201377519296,600.0,1.0,24.85025481839504
0.0,0.0,0.5645958781492519,600.0,1.0,25.541301833286276
0.0,0.0,0.5798503695296253,600.0,1.0,26.231387580877204
0.0,0.0,0.5950897178425384,600.0,1.0,26.920788283338226
0.0,0.0,0.6103139138264384,600.0,1.0,27.609503521693373
0.0,0.0,0.6255229482829823,600.0,1.0,28.297532879826143
0.0,0.0,0.6407168120770461,600.0,1.0,28.98487594447997
0.0,0.0,0.6558954961367341,600.0,1.0,29.671532305258605
0.0,0.0,0.6710589914533872,600.0,1.0,30.357501554626513
0.0,0.0,0.6862072890815905,600.0,1.0,31.042783287909224
0.0,0.0,0.7013403801391807,600.0,1.0,31.727377103293655
0.0,0.0,0.7164582558072529,600.0,1.0,32.411282601828404
0.0,0.0,0.7315609073301662,600.0,1.0,33.09449938742403
0.0,0.0,0.7466483260155495,600.0,1.0,33.77702706685329
0.0,0.0,0.7617205032343054,600.0,1.0,34.458865249751355
0.0,0.0,0.7767774304206152,600.0,1.0,35.140013548616004
0.0,0.0,0.791819099071942,600.0,1.0,35.82047157880775
0.0,0.0,0.8068455007490336,600.0,1.0,36.50023895855
0.0,0.0,0.8218566270759247,600.0,1.0,37.17931530892917
0.0,0.0,0.8368524697399387,600.0,1.0,37.85770025389471
0.0,0.0,0.8518330204916882,600.0,1.0,38.53539342025919
0.0,0.0,0.8667982711450768,600.0,1.0,39.21239443769832
0.0,0.0,0.8817482135772969,600.0,1.0,39.88870293875091
0.0,0.0,0.8966828397288309,600.0,1.0,40.56431855881886
0.0,0.0,0.911602141603448,600.0,1.0,41.23924093616709
0.0,0.0,0.926506111268203,600.0,1.0,41.913469711923454
0.0,0.0,0.9413947408534344,600.0,1.0,42.58700453007857
0.0,0.0,0.9562680225527596,600.0,1.0,43.259845037485775
