throttle,brake,speed,revs,gear,transmission_speed
0.0,0.0,8.149319110891094,1000.0,1.0,94.08030401703738
0.0,0.0,1.9231782433184976,841.6995375546475,1.0,12.835298423763165
0.0,0.0,-13.927747393265165,711.3645497548378,1.0,39.010440642645335
0.0,0.0,0.15791557994709948,613.0739869691622,1.0,7.691501557015855
0.0,0.0,1.3330578040634131,600.0,1.0,6.7971434157221555
0.0,0.0,-4.4832851681698385,600.0,1.0,26.04243845213488
0.0,0.0,-3.308279938850689,600.0,1.0,56.91027021158348
0.0,0.0,0.6202282616687034,600.0,1.0,26.674010969716818
0.0,0.0,9.745683233184447,600.0,1.0,56.956105344356885
0.0,0.0,8.170415501272377,600.0,1.0,54.04507278511535
0.0,0.0,7.382824702561418,600.0,1.0,-66.24530434868836
0.0,0.0,-4.5013919971057135,600.0,1.0,0.39432531922177105
0.0,0.0,-3.0712197492088777,600.0,1.0,-20.814701694995748
0.0,0.0,-4.102260531895621,600.0,1.0,-42.272136843442595
0.0,0.0,0.03288982634372073,600.0,1.0,-70.91958814887852
0.0,0.0,-3.359777315742024,600.0,1.0,-0.598380433659365
0.0,0.0,-2.760559377971157,600.0,1.0,-29.832816106636432
0.0,0.0,9.93753075425361,600.0,1.0,5.104139287798194
0.0,0.0,0.5420959173604324,600.0,1.0,29.45716504449784
0.0,0.0,17.161324541534615,600.0,1.0,-0.16820325495625177
0.0,0.0,-0.6103730052846867,600.0,1.0,-5.630683190365076
0.0,0.0,1.340118585062221,600.0,1.0,162.20073073050145
0.0,0.0,-7.342345433154685,600.0,1.0,83.46545501267053
0.0,0.0,2.8030122479682937,600.0,1.0,52.78468776321651
0.0,0.0,-6.192671834008225,600.0,1.0,66.16352028825314
0.0,0.0,7.251802513721124,600.0,1.0,39.39946724405761
0.0,0.0,3.1231280524541396,600.0,1.0,39.367740357632016
0.0,0.0,0.8467099650953267,600.0,1.0,76.48573036282258
0.0,0.0,8.537699476023628,600.0,1.0,7.413987849551251
0.0,0.0,3.8912175184334146,600.0,1.0,-5.109956592022652
0.0,0.0,-3.3584959480443173,600.0,1.0,7.280318551839926
0.0,0.0,-7.606667671028276,600.0,1.0,66.33485649760827
0.0,0.0,16.94905465767123,600.0,1.0,105.3727269302101
0.0,0.0,3.3324221400962015,600.0,1.0,-21.470444823998168
